Variable...Field.Name,Form.Name,Section.Header,Field.Type,Field.Label,Choices..Calculations..OR.Slider.Labels,Field.Note,Text.Validation.Type.OR.Show.Slider.Number,Text.Validation.Min,Text.Validation.Max,Identifier.,Branching.Logic..Show.field.only.if....,Required.Field.,Custom.Alignment,Question.Number..surveys.only.,Matrix.Group.Name,Matrix.Ranking.,Field.Annotation
hydra_assess_thirst_scale_2,hydration_assessment,,radio,8a. Was participant sufficiently hydrated according to thirst scale after re-assessment?,"1, 1 - Not Thirsty At All | 2, 2 | 3, 3 - A Little Thirsty | 4, 4 | 5, 5 - Moderately Thirsty | 6, 6 | 7, 7 - Very Thirsty | 8, 8 | 9, 9 - Very, Very Thirsty",,,,,,[hydra_assess_thirst_retest] = '1',y,,,,,
hydra_assess_q9_notes,hydration_assessment,,notes,"8b. If no to question 8, please explain",,,,,,,[hydra_assess_thirst_retest] = '0',,,,,,
hydra_assess_comments,hydration_assessment,,notes,Comments:,,,,,,,,,,,,,
anthromeasure_instructions,anthropometric_measurements,,descriptive,"<div class=""rich-text-field-label""><h6><span style=""text-decoration: underline;""><span style=""font-weight: normal;"">tell the participant</span>:</span></h6> <h6>-now we are going to get your <span style=""font-weight: normal;"">anthropometric measurements</span> including your <span style=""text-decoration: underline;"">height</span>, <span style=""text-decoration: underline;"">weight</span>, <span style=""text-decoration: underline;"">waist </span>and <span style=""text-decoration: underline;"">hip</span> measurements as well as your <span style=""text-decoration: underline;"">body mass index (bmi)</span> and we're also going to perform a full body scan using dual-energy x-ray</h6></div>",,,,,,,,,,,,,
anthromeasure_date,anthropometric_measurements,,text,Date anthropometric measurements taken,,,date_dmy,,,,,y,,,,,
anthromeasure_time,anthropometric_measurements,,text,Time anthropometric measurements taken,,,time,,,,,y,,,,,
anthromeasure_calibrate,anthropometric_measurements,,yesno,1. Was stadiometer calibrated before use?,,,,,,,,y,,,,,
anthromeasure_disinfect1,anthropometric_measurements,,yesno,2. Was stadiometer and tape measure disinfected before use?,,,,,,,,y,,,,,
anthromeasure_shoe_removal,anthropometric_measurements,,yesno,3. Did participant remove shoes before having height and weight measured?,,,,,,,,y,,,,,
anthromeasure_height,anthropometric_measurements,,text,4. Participant height (cm.),,,number,,,,,y,,,,,
anthromeasure_weight,anthropometric_measurements,,text,5. Participant weight (kg.),,,,,,,,y,,,,,
anthromeasure_bmi,anthropometric_measurements,,calc,6. Participant body mass index (bmi),[anthromeasure_weight]/(([anthromeasure_height]/100)^2),,,,,,,y,,,,,
anthromeasure_waist,anthropometric_measurements,,text,7. Participant waist measurement (cm.),,,,,,,,,,,,,
anthromeasure_hip,anthropometric_measurements,,text,8. Participant hip measurement (cm.),,,,,,,,,,,,,
anthromeasure_waist_hip_ratio,anthropometric_measurements,,calc,9. Waist/hip ratio,[anthromeasure_waist]/[anthromeasure_hip],,,,,,,,,,,,
anthromeasure_disinfect2,anthropometric_measurements,,yesno,10. Was stadiometer and tape measure disinfected after use?,,,,,,,,y,,,,,
anthromeasure_comments,anthropometric_measurements,,notes,Comments:,,,,,,,,,,,,,
dexa_date,dualenergy_xray_absorptiometry_dexa,,text,Date dexa scan performed,,,date_dmy,,,,,y,,,,,
dexa_time,dualenergy_xray_absorptiometry_dexa,,text,Time dexa scan performed,,,time,,,,,y,,,,,
dexa_calibration,dualenergy_xray_absorptiometry_dexa,,radio,1. Was dexa scanner calibrated prior to participant arrival?,"1, 1. Yes | 2, 2. No",,,,,,,y,,,,,
dexa_disinfected,dualenergy_xray_absorptiometry_dexa,,radio,2. Was dexa scanner and bed sanitized and disinfected before use?,"1, Yes | 2, No",,,,,,,y,,,,,
dexa_risk_form_signing,dualenergy_xray_absorptiometry_dexa,,radio,3. Did participant sign the dexa acknowledgment of risk form?,"1, 1. Yes | 2, 2. No",,,,,,,y,,,,,
dexa_pregnant_status,dualenergy_xray_absorptiometry_dexa,,radio,"4. If female, is participant pregnant?","1, Yes | 2, No",,,,,,,y,,,,,
dexa_info_interface,dualenergy_xray_absorptiometry_dexa,,radio,"5. Was participant information correctly entered into the dexa interface (id, sex, first & last, initial, d.o.b., weight & height)?","1, Yes | 2, No",,,,,,,y,,,,,
dexa_participant_position,dualenergy_xray_absorptiometry_dexa,,yesno,"6. Was participant lying supine on the dexa scanner bed with their body straight and aligned with the center of the scanner with legs straight, feet slightly apart with shoes off and arms to the side of the body with palms facing the body with thumbs oriented upwards?",,,,,,,,y,,,,,
dexa_legs_tissue_fat,dualenergy_xray_absorptiometry_dexa,LEGS,text,7a. Legs tissue (% fat),,,number,,,,,y,,,,,
dexa_legs_region_fat,dualenergy_xray_absorptiometry_dexa,,text,7b. Legs region (% fat),,,number,,,,[dexa_legs_tissue_fat] > 1,y,,,,,
dexa_legs_tissue_grams,dualenergy_xray_absorptiometry_dexa,,text,7c. Legs tissue (g),,,number,,,,[dexa_legs_region_fat] > 1,y,,,,,
dexa_legs_fat_grams,dualenergy_xray_absorptiometry_dexa,,text,7d. Legs fat (g),,,number,,,,[dexa_legs_tissue_grams] > 1,y,,,,,
dexa_legs_lean_grams,dualenergy_xray_absorptiometry_dexa,,text,7e. Legs lean (g),,,number,,,,[dexa_legs_fat_grams] > 1,y,,,,,
dexa_legs_bmc_grams,dualenergy_xray_absorptiometry_dexa,,text,7f. Legs bmc (g),,,number,,,,[dexa_legs_lean_grams] > 1,y,,,,,
dexa_legs_total_mass_kgs,dualenergy_xray_absorptiometry_dexa,,text,7g. Legs total mass (kg),,,,,,,[dexa_legs_bmc_grams] > 1,y,,,,,
dexa_right_leg_tissue_fat,dualenergy_xray_absorptiometry_dexa,RIGHT LEG,text,8a. Right leg tissue (% fat),,,number,,,,[dexa_legs_total_mass_kgs] > 1,y,,,,,
dexa_right_leg_region_fat,dualenergy_xray_absorptiometry_dexa,,text,8b. Right leg region (% fat),,,number,,,,[dexa_right_leg_tissue_fat] > 1,y,,,,,
dexa_right_leg_tissue_grams,dualenergy_xray_absorptiometry_dexa,,text,8c. Right leg tissue (g),,,number,,,,[dexa_right_leg_region_fat] > 1,y,,,,,
dexa_right_leg_fat_grams,dualenergy_xray_absorptiometry_dexa,,text,8d. Right leg fat (g),,,number,,,,[dexa_right_leg_tissue_grams] > 1,y,,,,,
dexa_right_leg_lean_grams,dualenergy_xray_absorptiometry_dexa,,text,8e. Right leg lean (g),,,number,,,,[dexa_right_leg_fat_grams] > 1,y,,,,,
dexa_right_leg_bmc_grams,dualenergy_xray_absorptiometry_dexa,,text,8f. Right leg bmc (g),,,number,,,,[dexa_right_leg_lean_grams] > 1,y,,,,,
dexa_right_leg_total_mass_kg,dualenergy_xray_absorptiometry_dexa,,text,8g. Right leg total mass (kg),,,,,,,[dexa_right_leg_bmc_grams] > 1,y,,,,,
dexa_left_leg_tissue_fat,dualenergy_xray_absorptiometry_dexa,LEFT LEG,text,9a. Left leg tissue (% fat),,,number,,,,[dexa_right_leg_total_mass_kg] > 1,y,,,,,
dexa_left_leg_region_fat,dualenergy_xray_absorptiometry_dexa,,text,9b. Left leg region (% fat),,,number,,,,[dexa_left_leg_tissue_fat] > 1,y,,,,,
dexa_left_leg_tissue_grams,dualenergy_xray_absorptiometry_dexa,,text,9c. Left leg tissue (g),,,number,,,,[dexa_left_leg_region_fat] > 1,y,,,,,
dexa_left_leg_fat_grams,dualenergy_xray_absorptiometry_dexa,,text,9d. Left leg fat (g),,,number,,,,[dexa_left_leg_tissue_grams] > 1,y,,,,,
dexa_left_leg_lean_grams,dualenergy_xray_absorptiometry_dexa,,text,9e. Left leg lean (g),,,number,,,,[dexa_left_leg_fat_grams] > 1,y,,,,,
dexa_left_leg_bmc_grams,dualenergy_xray_absorptiometry_dexa,,text,9f. Left leg bmc (g),,,number,,,,[dexa_left_leg_lean_grams] > 1,y,,,,,
dexa_left_leg_total_mass_kg,dualenergy_xray_absorptiometry_dexa,,text,9g. Left leg total mass (kg),,,,,,,[dexa_left_leg_bmc_grams] > 1,y,,,,,
dexa_total_tissue_fat,dualenergy_xray_absorptiometry_dexa,TOTAL,text,10a. Total tissue (% fat),,,number,,,,[dexa_left_leg_total_mass_kg] > 1,y,,,,,
dexa_total_region_fat,dualenergy_xray_absorptiometry_dexa,,text,10b. Total region (% fat),,,number,,,,[dexa_total_tissue_fat] > 1,y,,,,,
dexa_total_tissue_grams,dualenergy_xray_absorptiometry_dexa,,text,10c. Total tissue (g),,,number,,,,[dexa_total_region_fat] > 1,y,,,,,
dexa_total_fat_grams,dualenergy_xray_absorptiometry_dexa,,text,10d. Total fat (g),,,number,,,,[dexa_total_tissue_grams] > 1,y,,,,,
dexa_total_lean_grams,dualenergy_xray_absorptiometry_dexa,,text,10e. Total lean (g),,,number,,,,[dexa_total_fat_grams] > 1,y,,,,,
dexa_total_bmc_grams,dualenergy_xray_absorptiometry_dexa,,text,10f. Total bmc (g),,,number,,,,[dexa_total_lean_grams] > 1,y,,,,,
dexa_total_mass_kg,dualenergy_xray_absorptiometry_dexa,,text,10g. Total mass (kg),,,,,,,[dexa_total_bmc_grams] > 1,y,,,,,
dexa_evat_volume,dualenergy_xray_absorptiometry_dexa,ESTIMATED VISCERAL ADIPOSE TISSUE,text,11a. Volume (cm3),,,number,,,,,y,,,,,
dexa_evat_mass,dualenergy_xray_absorptiometry_dexa,,text,11b. Mass (g),,,number,,,,[dexa_evat_volume] > 1,y,,,,,
dexa_evat_area,dualenergy_xray_absorptiometry_dexa,,text,11c. Area (cm2),,,number,,,,[dexa_evat_mass] > 1,y,,,,,
dexa_interpretation,dualenergy_xray_absorptiometry_dexa,,radio,12. Participant dexa scan interpretation ,"1, Normal (-1.0 to 1.0) | 2, Osteopenia (-2.5 to -1.0) | 3, Osteoporosis ( < -2.5)",,,,,,,,,,,,
dexa_disinfected_after,dualenergy_xray_absorptiometry_dexa,,radio,13. Was dexa scanner and bed sanitized and disinfected after use?,"1, Yes | 2, No",,,,,,,y,,,,,
dexa_comments,dualenergy_xray_absorptiometry_dexa,,notes,Comments:,,,,,,,,,,,,,
bp_instructions,blood_pressure,,descriptive,"<div class=""rich-text-field-label""><h6><span style=""text-decoration: underline;"">tell the participant:</span><br />-now we're going to check your blood pressure, we'll get your sytolic and diastolic measuremnts as well as your heart rate.</h6></div>",,,,,,,,,,,,,
bp_date,blood_pressure,,text,Date blood pressure measurment performed,,,date_dmy,,,,,y,,,,,
bp_time,blood_pressure,,text,Time blood pressure measurment performed,,,time,,,,,y,,,,,
bp_positioning,blood_pressure,,yesno,1. Was position of participant in an upright seated position for blood pressure reading?,,,,,,,,y,,,,,
bp_resting_time,blood_pressure,,yesno,2. Was participant at rest for at least 5 minutes before blood pressure taken?,,,,,,,,y,,,,,
bp_taken,blood_pressure,,yesno,3. Was blood pressure measurment taken?,,,,,,,,y,,,,,
bp_systolic,blood_pressure,,text,4. Systolic measurment  (mmhg),,,,,,,,y,,,,,
bp_diastolic,blood_pressure,,text,5. Diastolic measurment (mmhg) ,,,,,,,,y,,,,,
bp_pulse,blood_pressure,,text,6. Pulse (heart rate) measurment,,,,,,,,y,,,,,
bp_comments,blood_pressure,,notes,Comments:,,,,,,,,,,,,,
biopsy_date,muscle_sampling_biopsy,"ALL Biopsies Done During T1, T2 & T3 Will Be Performed On The Same Leg.",text,Date muscle biopsy performed,,,date_dmy,,,,,y,,,,,
biopsy_time,muscle_sampling_biopsy,,text,Time muscle biopsy performed,,,time,,,,,y,,,,,
biopsy_leg,muscle_sampling_biopsy,,radio,1. Which leg did participant have muscle biopsy performed on?,"1, Left | 2, Right",Note the leg biopsy perfomed on for future reference (ALL biopsies will be performed on the same leg).,,,,,,y,,,,,
biopsy_post_care,muscle_sampling_biopsy,,yesno,2. Was participant given a post procedural care kit with post care instructions included?,,,,,,,,y,,,,,
biopsy_post_care_reason,muscle_sampling_biopsy,,yesno,"2a. If no to question 2, please explain",,,,,,,[biopsy_post_care] = '0',y,,,,,
biopsy_comments,muscle_sampling_biopsy,,notes,,,,,,,,,,,,,,
ogtt_date,oral_glucose_tolerance_test_ogtt,,text,Date oral glucose tolerance test performed,,,date_dmy,,,,,y,,,,,
ogtt_time,oral_glucose_tolerance_test_ogtt,,text,Time oral glucose tolerance test performed,,,time,,,,,y,,,,,
ogtt_pre_draw,oral_glucose_tolerance_test_ogtt,,yesno,1. Did participant have blood drawn before consuming glucose beverage?,,,,,,,,,,,,,
ogtt_q1_notes,oral_glucose_tolerance_test_ogtt,,notes,"1a. If no to question 1, please explain",,,,,,,[ogtt_pre_draw] = '0',y,,,,,
ogtt_beverage_consumed,oral_glucose_tolerance_test_ogtt,,yesno,"2. Did participant consume the 75 g glucose (trutol, thermofisher scientific) beverage?",,,,,,,[ogtt_pre_draw] = '1',y,,,,,
ogtt_no_why,oral_glucose_tolerance_test_ogtt,,notes,"2a. If no to question 2, please explain",,,,,,,[ogtt_beverage_consumed] = '0',y,,,,,
ogtt_thirty_min_draw,oral_glucose_tolerance_test_ogtt,,yesno,3. Was blood drawn (30 minutes) after consumption?,,,,,,,[ogtt_beverage_consumed] = '1',y,,,,,
ogtt_q3_notes,oral_glucose_tolerance_test_ogtt,,notes,"3a. If no to question 4, please explain",,,,,,,[ogtt_thirty_min_draw] = '0',y,,,,,
ogtt_sixty_min_draw,oral_glucose_tolerance_test_ogtt,,yesno,4. Was blood drawn (60 minutes) after consumption?,,,,,,,[ogtt_thirty_min_draw] = '1',y,,,,,
ogtt_q4_notes,oral_glucose_tolerance_test_ogtt,,notes,"4a. If no to question 5, please explain",,,,,,,[ogtt_sixty_min_draw] = '0',y,,,,,
ogtt_final_blood_draw,oral_glucose_tolerance_test_ogtt,,yesno,5.  Was blood drawn (120 minutes) after consumption?,,,,,,,[ogtt_sixty_min_draw] = '1',y,,,,,
ogtt_q5_notes,oral_glucose_tolerance_test_ogtt,,notes,"5a. If no to question 5, please explain",,,,,,,[ogtt_final_blood_draw] = '0',y,,,,,
ogtt_blood_spillage,oral_glucose_tolerance_test_ogtt,,yesno,6. Were surfaces contaminated with blood spillage cleaned and disinfected?,,,,,,,,,,,,,
ogtt_q6_notes,oral_glucose_tolerance_test_ogtt,,yesno,6a. If no to question 6 please explain,,,,,,,[ogtt_blood_spillage] = '0',y,,,,,
ogtt_comments,oral_glucose_tolerance_test_ogtt,,notes,Comments:,,,,,,,,,,,,,
sf_instructions,fatigue_sf36_energyfatigue_subscale,,descriptive,"<div class=""rich-text-field-label""><h6><span style=""text-decoration: underline;"">tell the participant:</span></h6> <h6>-here you will complete the energy and fatigue subscale questionnaire. This questionnaire asks 36 questions to assess your perceived energy levels and fatigue.</h6> <h6>-carefully read and answer each question according to your own personal experiences and i want to assure you that their are no right or wrong answers.</h6> <p> </p></div>",,,,,,,,,,,,,
sf_date_completed,fatigue_sf36_energyfatigue_subscale,,text,Date 36-item short form survey completed,,,date_dmy,,,,,y,,,,,
sf_time_completed,fatigue_sf36_energyfatigue_subscale,,text,Time 36-item short form survey completed,,,time,,,,,y,,,,,
sf_individual_health,fatigue_sf36_energyfatigue_subscale,36-Item Short Form Survey Questionnaire,radio,"1. In general, would you say your health is:","100, Excellent | 75, Very Good | 50, Good | 25, Fair | 0, Poor",,,,,,,y,,,,,
sf_general_health,fatigue_sf36_energyfatigue_subscale,,radio,"2. Compared to one year ago, how would you rate your health in general now?","100, Much Better Now Than One Year Ago | 75, Somewhat Better Now Than One Year Ago | 50, About The Same | 25, Somewhat Worse Now Than One Year Ago | 0, Much Worse Now Than One Year Ago",,,,,,,y,,,,,
sf_vigorous_activities,fatigue_sf36_energyfatigue_subscale,"The Following Items Are About Activities You Might Do During A Typical Day. Does Your Health Now Limit You In These Activities? If So, How Much?",radio,"3. Vigorous activities, such as running, lifting heavy objects, participating in strenuous sports","0, Yes, Limited A Lot | 50, Yes, Limited A Little | 100, No, Not Limited At All",,,,,,,y,,,,,
sf_moderate_activities,fatigue_sf36_energyfatigue_subscale,,radio,"4. Moderate activities, such as moving a table, pushing a vacuum cleaner, bowling, or playing golf","0, Yes, Limited A Lot | 50, Yes, Limited A Little | 100, No, Not Limited At All",,,,,,,y,,,,,
sf_groceries,fatigue_sf36_energyfatigue_subscale,,radio,5. Lifting or carrying groceries,"0, Yes, Limited A Lot | 50, Yes, Limited A Little | 100, No, Not Limited At All",,,,,,,y,,,,,
sf_stairs,fatigue_sf36_energyfatigue_subscale,,radio,6. Climbing several flights or stairs,"0, Yes, Limited A Lot | 50, Yes, Limited A Little | 100, No, Not Limited At All",,,,,,,y,,,,,
sf_one_stairs,fatigue_sf36_energyfatigue_subscale,,radio,7. Climbing one flight of stairs,"0, Yes, Limited A Lot | 50, Yes, Limited A Little | 100, No, Not Limited At All",,,,,,,y,,,,,
sf_bending,fatigue_sf36_energyfatigue_subscale,,radio,"8. Bending, kneeling, or stooping","0, Yes, Limited A Lot | 50, Yes, Limited A Little | 100, No, Not Limited At All",,,,,,,y,,,,,
sf_mile,fatigue_sf36_energyfatigue_subscale,,radio,9. Walking more than a mile,"0, Yes, Limited A Lot | 50, Yes, Limited A Little | 100, No, Not Limited At All",,,,,,,y,,,,,
sf_blocks,fatigue_sf36_energyfatigue_subscale,,radio,10. Walking several blocks,"0, Yes, Limited A Lot | 50, Yes, Limited A Little | 100, No, Not Limited At All",,,,,,,y,,,,,
sf_one_block,fatigue_sf36_energyfatigue_subscale,,radio,11. Walking one block,"0, Yes, Limited A Lot | 50, Yes, Limited A Little | 100, No, Not Limited At All",,,,,,,y,,,,,
sf_bathing,fatigue_sf36_energyfatigue_subscale,,radio,12. Bathing or dressing yourself,"0, Yes, Limited A Lot | 50, Yes, Limited A Little | 100, No, Not Limited At All",,,,,,,y,,,,,
sf_physical_cut,fatigue_sf36_energyfatigue_subscale,"During The Past 4 Weeks, Have You Had Any Of The Following Problems With Your Work Or Other Regular Daily Activities As A Result Of Your Physical Health?",radio,13. Cut down the amount of time you spent on work or other activities,"0, Yes | 100, No",,,,,,,y,,,,,
sf_less_accomplished,fatigue_sf36_energyfatigue_subscale,,radio,14. Accomplished less than you would like,"0, Yes | 100, No",,,,,,,y,,,,,
sf_limited_activities,fatigue_sf36_energyfatigue_subscale,,radio,15. Were limited in the kind of work or other activities,"0, Yes | 100, No",,,,,,,y,,,,,
sf_performance_difficulty,fatigue_sf36_energyfatigue_subscale,,radio,"16. Had difficulty performing the work or other activities (for example, it took extra effort)","0, Yes | 100, No",,,,,,,y,,,,,
sf_activity_cut_time,fatigue_sf36_energyfatigue_subscale,"During The Past 4 Weeks, Have You Had Any Of The Following Problems With Your Work Or Other Regular Daily Activities As A Result Of Any Emotional Problems (Such As Feeling Depressed Or Anxious)?",radio,17. Cut down the amount of time you spent on work or other activities,"0, Yes | 100, No",,,,,,,y,,,,,
sf_accomplish_less,fatigue_sf36_energyfatigue_subscale,,radio,18. Accomplished less than you would like,"0, Yes | 100, No",,,,,,,y,,,,,
sf_didnt_do_work,fatigue_sf36_energyfatigue_subscale,,radio,19. Didn't do work or other activities as carefully as usual,"0, Yes | 100, No",,,,,,,y,,,,,
sf_social_activity,fatigue_sf36_energyfatigue_subscale,,radio,"20. During the past 4 weeks, to what extent has your physical health or emotional problems interfered with your normal social activities with family, friends, neighbors, or groups?","100, Not At All | 75, Slightly | 50, Moderately | 25, Quite A Bit | 0, Extremely",,,,,,,y,,,,,
sf_bodily_pain,fatigue_sf36_energyfatigue_subscale,,radio,21. How much bodily pain have you had during the past 4 weeks?,"100, None | 80, Very Mild | 60, Mild | 40, Moderate | 20, Severe | 0, Very Severe",,,,,,,y,,,,,
sf_normal_work,fatigue_sf36_energyfatigue_subscale,,radio,"22. During the past 4 weeks, how much did pain interfere with your normal work (including both work outside the home and housework)?","100, Not At All | 75, A Little Bit | 50, Moderately | 25, Quite A Bit | 0, Extremely",,,,,,,y,,,,,
sf_pep,fatigue_sf36_energyfatigue_subscale,"These Questions Are About How You Feel And How Things Have Been With You During The Past 4 Weeks. For Each Question, Please Give The One Answer That Comes Closest To The Way You Have Been Feeling.

How Much Of The Time During The Past 4 Weeks...",radio,23. Did you feel full of pep?,"100, All Of The Time | 80, Most Of The Time | 60, A Good Bit Of The Time | 40, Some Of The Time | 20, A Little Of The Time | 0, None Of The Time",,,,,,,y,,,,,
sf_nervousness,fatigue_sf36_energyfatigue_subscale,,radio,24. Have you been a very nervous person?,"0, All Of The Time | 20, Most Of The Time | 40, A Good Bit Of The Time | 60, Some Of The Time | 80, A Little Of The Time | 100, None Of The Time",,,,,,,y,,,,,
sf_feeling_down,fatigue_sf36_energyfatigue_subscale,,radio,25. Have you felt so down in the dumps that nothing could cheer you up?,"0, All Of The Time | 20, Most Of The Time | 40, A Good Bit Of The Time | 60, Some Of The Time | 80, A Little Of The Time | 100, None Of The Time",,,,,,,y,,,,,
sf_calm_and_peace,fatigue_sf36_energyfatigue_subscale,,radio,26. Have you felt calm and peaceful?,"100, All Of The Time | 80, Most Of The Time | 60, A Good Bit Of The Time | 40, Some Of The Time | 20, A Little Of The Time | 0, None Of The Time",,,,,,,y,,,,,
sf_energy_level,fatigue_sf36_energyfatigue_subscale,,radio,27. Did you have a lot of energy?,"100, All Of The Time | 80, Most Of The Time | 60, A Good Bit Of The Time | 40, Some Of The Time | 20, A Little Of The Time | 0, None Of The Time",,,,,,,y,,,,,
sf_feeling_blue,fatigue_sf36_energyfatigue_subscale,,radio,28. Have you felt so downhearted and blue?,"0, All Of The Time | 20, Most Of The Time | 40, A Good Bit Of The Time | 60, Some Of The Time | 80, A Little Of The Time | 100, None Of The Time",,,,,,,y,,,,,
sf_worn_out,fatigue_sf36_energyfatigue_subscale,,radio,29. Did you feel worn out?,"0, All Of The Time | 20, Most Of The Time | 40, A Good Bit Of The Time | 60, Some Of The Time | 80, A Little Of The Time | 100, None Of The Time",,,,,,,y,,,,,
sf_happy,fatigue_sf36_energyfatigue_subscale,,radio,30. Have you been a happy person?,"100, All Of The Time | 80, Most Of The Time | 60, A Good Bit Of The Time | 40, Some Of The Time | 20, A Little Of The Time | 0, None Of The Time",,,,,,,y,,,,,
sf_tired,fatigue_sf36_energyfatigue_subscale,,radio,31. Did you feel tired?,"0, All Of The Time | 20, Most Of The Time | 40, A Good Bit Of The Time | 60, Some Of The Time | 80, A Little Of The Time | 100, None Of The Time",,,,,,,y,,,,,
sf_social_activities,fatigue_sf36_energyfatigue_subscale,,radio,"32. During the past 4 weeks, how much of the time has your physical health or emotional problems interfered with your social activities (like visiting with friends, relatives, etc.)","0, All Of The Time | 25, Most Of The Time | 50, Some Of The Time | 75, A Little Of The Time | 100, None Of The Time",,,,,,,y,,,,,
sf_easily_sick,fatigue_sf36_energyfatigue_subscale,How TRUE or FALSE Is Each Of The Following Statements For You.,radio,33. I seem to get sick a little easier than other people,"0, Definitely True | 25, Mostly True | 50, Don't Know | 75, Mostly False | 100, Definitely False",,,,,,,y,,,,,
sf_super_healthy,fatigue_sf36_energyfatigue_subscale,,radio,34. I am as healthy as anybody i know,"100, Definitely True | 75, Mostly True | 50, Don't Know | 25, Mostly False | 0, Definitely False",,,,,,,y,,,,,
sf_health_to_be_worse,fatigue_sf36_energyfatigue_subscale,,radio,35. I expect my health to get worse,"0, Definitely True | 25, Mostly True | 50, Don't Know | 75, Mostly False | 100, Definitely False",,,,,,,y,,,,,
sf_excellent_health,fatigue_sf36_energyfatigue_subscale,,radio,36. My health is excellent,"100, Definitely True | 75, Mostly True | 50, Don't Know | 25, Mostly False | 0, Definitely False",,,,,,,y,,,,,
sf_physical_function_score,fatigue_sf36_energyfatigue_subscale,SF-36 ENERGY/FATIGUE SUBSCALE HEALTH SURVEY SCORE,calc,37. Physical functioning score,([sf_vigorous_activities] + [sf_moderate_activities] + [sf_groceries] + [sf_stairs] + [sf_one_stairs] + [sf_bending] + [sf_mile] + [sf_blocks] + [sf_one_block] + [sf_bathing])/10,,,,,,,y,,,,,
sf_phys_health_limit_score,fatigue_sf36_energyfatigue_subscale,,calc,38. Role limitations due to physical health score,([sf_physical_cut] + [sf_less_accomplished] + [sf_limited_activities] + [sf_performance_difficulty])/4,,,,,,,y,,,,,
sf_emotional_problem_score,fatigue_sf36_energyfatigue_subscale,,calc,39. Role limitations due to emotional problems score,([sf_activity_cut_time] + [sf_accomplish_less] + [sf_didnt_do_work])/3,,,,,,,y,,,,,
sf_energy_fatigue_score,fatigue_sf36_energyfatigue_subscale,,calc,40. Energy/fatigue score,([sf_pep] + [sf_energy_level] + [sf_worn_out] + [sf_tired])/4,,,,,,,y,,,,,
sf_well_being_score,fatigue_sf36_energyfatigue_subscale,,calc,41. Emotional well-being score,([sf_nervousness] + [sf_feeling_down] + [sf_calm_and_peace] + [sf_feeling_blue] + [sf_happy])/5,,,,,,,y,,,,,
sf_social_function_score,fatigue_sf36_energyfatigue_subscale,,calc,42. Social functioning score,([sf_social_activity] + [sf_social_activities])/2,,,,,,,y,,,,,
sf_pain_score,fatigue_sf36_energyfatigue_subscale,,calc,43. Pain score,([sf_bodily_pain] + [sf_normal_work])/2,,,,,,,y,,,,,
sf_general_health_score,fatigue_sf36_energyfatigue_subscale,,calc,44. General health score,([sf_individual_health] + [sf_easily_sick] + [sf_super_healthy] + [sf_health_to_be_worse] + [sf_excellent_health])/5,,,,,,,y,,,,,
sf_comments,fatigue_sf36_energyfatigue_subscale,,notes,Comments:,,,,,,,,,,,,,
ipaq_instructions,physical_activity_international_physical_activity,,descriptive,"<div class=""rich-text-field-label""><h6><span style=""text-decoration: underline;"">tell the participant:</span><br />-here i am going to have you complete the international physical activity questionnaire which measures the times you've spent walking and doing moderate to vigorous physical activities over the past 7 days.</h6> <h6>-carefully read and answer each question according to your own personal experiences and i want to assure you that their are no right or weong answers.</h6></div>",,,,,,,,,,,,,
ipaq_date_completed,physical_activity_international_physical_activity,,text,Date physical activity international physical activity questionnaire (ipaq) completed?,,,date_dmy,,,,,y,,,,,
ipaq_time_completed,physical_activity_international_physical_activity,,text,Time physical activity international physical activity questionnaire (ipaq) completed?,,,time,,,,,y,,,,,
ipaq_vigorous,physical_activity_international_physical_activity,"The following questions will ask you about the time you spent being
physically active in the last 7 days. Please answer each question even if you do not
consider yourself to be an active person. Please think about the activities you do at
work, as part of your house and yard work, to get from place to place, and in your spare
time for recreation, exercise or sport.

Think about all the vigorous activities that you did in the last 7 days. Vigorous
physical activities refer to activities that take hard physical effort and make you breathe
much harder than normal. Think only about those physical activities that you did for at
least 10 minutes at a time",radio,"1. During the last 7 days, on how many days did you do vigorous physical 
Activities like heavy lifting, digging, aerobics, or fast bicycling? ","1, 0 (No Vigorous Activity) | 2, 1 | 3, 2 | 4, 3 | 5, 4 | 6, 5 | 7, 6 | 8, 7",,,,,,,y,,,,,
ipaq_daily_vigorous,physical_activity_international_physical_activity,,text,1a. How much time did you usually spend doing vigorous physical activities on one of those days? (In hours and minutes per day),,,number,,,,[ipaq_vigorous] = '2' or [ipaq_vigorous] = '3' or [ipaq_vigorous] = '4' or [ipaq_vigorous] = '5' or [ipaq_vigorous] = '6' or [ipaq_vigorous] = '7' or [ipaq_vigorous] = '8',,,,,,
ipaq_moderate,physical_activity_international_physical_activity,"Think about all the moderate activities that you did in the last 7 days. Moderate
activities refer to activities that take moderate physical effort and make you breathe 
somewhat harder than normal. Think only about those physical activities that you did 
for at least 10 minutes at a time.",radio,"2. During the last 7 days, on how many days did you do moderate physical activities like carrying light loads, bicycling at a regular pace, or doubles tennis?  (Not including walking)","1, 0 (No Moderate Activity) | 2, 1 | 3, 2 | 4, 3 | 5, 4 | 6, 5 | 7, 6 | 8, 7",,,,,,,y,,,,,
