"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
hydra_assess_q3_notes,hydration_assessment,,notes,"3a. If No To Question 3, Please Explain?",,,,,,,"[hydra_assess_thirst_scale] = '0'",y,,,,,
hydra_assess_sufficient,hydration_assessment,,yesno,"4. Was Participant Sufficiently Hydrated According To Thirst Scale?",,,,,,,,y,,,,,
hydra_assess_water_given,hydration_assessment,,yesno,"5. Did Participant Have To Be Given 8oz Of Water To Drink?",,,,,,,"[hydra_assess_sufficient] = '0'",y,,,,,
hydra_assess_urine_retest,hydration_assessment,,yesno,"6. Did Participant Need To Provide A Second Urine Sample To Re-Test Hydration?",,,,,,,"[hydra_assess_water_given] = '1' or [hydra_assess_water_given] = '0'",y,,,,,
hydra_assess_urine_retest_result,hydration_assessment,,radio,"6a. What Was The Participant Urine Color In Comparison To The Chart After Re-Assessment?","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8",,,,,,"[hydra_assess_urine_retest] = '1'",y,,,,,
hydra_assess_thirst_retest,hydration_assessment,,yesno,"8. Did Participant Have Thirst Sensation Re-Assessed Using The Thirst Scale?",,,,,,,"[hydra_assess_urine_retest_result] = '1' or [hydra_assess_urine_retest_result] = '2' or [hydra_assess_urine_retest_result] = '3' or [hydra_assess_urine_retest_result] = '4' or [hydra_assess_urine_retest_result] = '5' or [hydra_assess_urine_retest_result] = '6' or [hydra_assess_urine_retest_result] = '7' or [hydra_assess_urine_retest_result] = '8'",y,,,,,
hydra_assess_thirst_scale_2,hydration_assessment,,radio,"8a. Was Participant Sufficiently Hydrated According To Thirst Scale After Re-Assessment?","1, 1 - Not Thirsty At All | 2, 2 | 3, 3 - A Little Thirsty | 4, 4 | 5, 5 - Moderately Thirsty | 6, 6 | 7, 7 - Very Thirsty | 8, 8 | 9, 9 - Very, Very Thirsty",,,,,,"[hydra_assess_thirst_retest] = '1'",y,,,,,
hydra_assess_q9_notes,hydration_assessment,,notes,"8b. If No To Question 8, Please Explain",,,,,,,"[hydra_assess_thirst_retest] = '0'",,,,,,
hydra_assess_comments,hydration_assessment,,notes,Comments:,,,,,,,,,,,,,
anthromeasure_instructions,anthropometric_measurements,,descriptive,"<div class=""rich-text-field-label""><h6><span style=""text-decoration: underline;""><span style=""font-weight: normal;"">Tell The Participant</span>:</span></h6> <h6>-Now we are going to get your <span style=""font-weight: normal;"">anthropometric measurements</span> Including your <span style=""text-decoration: underline;"">height</span>, <span style=""text-decoration: underline;"">weight</span>, <span style=""text-decoration: underline;"">waist </span>and <span style=""text-decoration: underline;"">hip</span> measurements as well as your <span style=""text-decoration: underline;"">Body Mass Index (BMI)</span> and we're also going to perform a full body scan using dual-energy X-ray</h6></div>",,,,,,,,,,,,,
anthromeasure_date,anthropometric_measurements,,text,"Date Anthropometric Measurements Taken",,,date_dmy,,,,,y,,,,,
anthromeasure_time,anthropometric_measurements,,text,"Time Anthropometric Measurements Taken",,,time,,,,,y,,,,,
anthromeasure_calibrate,anthropometric_measurements,,yesno,"1. Was Stadiometer Calibrated Before Use?",,,,,,,,y,,,,,
anthromeasure_disinfect1,anthropometric_measurements,,yesno,"2. Was Stadiometer and Tape Measure Disinfected Before Use?",,,,,,,,y,,,,,
anthromeasure_shoe_removal,anthropometric_measurements,,yesno,"3. Did Participant Remove Shoes Before Having Height and Weight Measured?",,,,,,,,y,,,,,
anthromeasure_height,anthropometric_measurements,,text,"4. Participant Height (cm.)",,,number,,,,,y,,,,,
anthromeasure_weight,anthropometric_measurements,,text,"5. Participant Weight (kg.)",,,,,,,,y,,,,,
anthromeasure_bmi,anthropometric_measurements,,calc,"6. Participant Body Mass Index (BMI)",[anthromeasure_weight]/(([anthromeasure_height]/100)^2),,,,,,,y,,,,,
anthromeasure_waist,anthropometric_measurements,,text,"7. Participant Waist Measurement (cm.)",,,,,,,,,,,,,
anthromeasure_hip,anthropometric_measurements,,text,"8. Participant Hip Measurement (cm.)",,,,,,,,,,,,,
anthromeasure_waist_hip_ratio,anthropometric_measurements,,calc,"9. Waist/Hip Ratio",[anthromeasure_waist]/[anthromeasure_hip],,,,,,,,,,,,
anthromeasure_disinfect2,anthropometric_measurements,,yesno,"10. Was Stadiometer and Tape Measure Disinfected After Use?",,,,,,,,y,,,,,
anthromeasure_comments,anthropometric_measurements,,notes,Comments:,,,,,,,,,,,,,
dexa_date,dualenergy_xray_absorptiometry_dexa,,text,"Date DEXA Scan Performed",,,date_dmy,,,,,y,,,,,
dexa_time,dualenergy_xray_absorptiometry_dexa,,text,"Time Dexa Scan Performed",,,time,,,,,y,,,,,
dexa_calibration,dualenergy_xray_absorptiometry_dexa,,radio,"1. Was DEXA Scanner Calibrated Prior To Participant Arrival?","1, 1. Yes | 2, 2. No",,,,,,,y,,,,,
dexa_disinfected,dualenergy_xray_absorptiometry_dexa,,radio,"2. Was DEXA Scanner And Bed Sanitized and Disinfected Before Use?","1, Yes | 2, No",,,,,,,y,,,,,
dexa_risk_form_signing,dualenergy_xray_absorptiometry_dexa,,radio,"3. Did Participant Sign The DEXA Acknowledgment Of Risk Form?","1, 1. Yes | 2, 2. No",,,,,,,y,,,,,
dexa_pregnant_status,dualenergy_xray_absorptiometry_dexa,,radio,"4. If Female, Is Participant Pregnant?","1, Yes | 2, No",,,,,,,y,,,,,
dexa_info_interface,dualenergy_xray_absorptiometry_dexa,,radio,"5. Was Participant Information Correctly Entered Into The DEXA Interface (ID, Sex, First & Last, Initial, D.O.B., Weight & Height)?","1, Yes | 2, No",,,,,,,y,,,,,
dexa_participant_position,dualenergy_xray_absorptiometry_dexa,,yesno,"6. Was Participant Lying Supine On The DEXA Scanner Bed With Their Body Straight And Aligned With The Center Of The Scanner With Legs Straight, Feet Slightly Apart With Shoes Off And Arms To The Side Of The Body With Palms Facing The Body With Thumbs Oriented Upwards?",,,,,,,,y,,,,,
dexa_legs_tissue_fat,dualenergy_xray_absorptiometry_dexa,LEGS,text,"7a. Legs Tissue (% Fat)",,,number,,,,,y,,,,,
dexa_legs_region_fat,dualenergy_xray_absorptiometry_dexa,,text,"7b. Legs Region (% Fat)",,,number,,,,"[dexa_legs_tissue_fat] > 1",y,,,,,
dexa_legs_tissue_grams,dualenergy_xray_absorptiometry_dexa,,text,"7c. Legs Tissue (g)",,,number,,,,"[dexa_legs_region_fat] > 1",y,,,,,
dexa_legs_fat_grams,dualenergy_xray_absorptiometry_dexa,,text,"7d. Legs Fat (g)",,,number,,,,"[dexa_legs_tissue_grams] > 1",y,,,,,
dexa_legs_lean_grams,dualenergy_xray_absorptiometry_dexa,,text,"7e. Legs Lean (g)",,,number,,,,"[dexa_legs_fat_grams] > 1",y,,,,,
dexa_legs_bmc_grams,dualenergy_xray_absorptiometry_dexa,,text,"7f. Legs BMC (g)",,,number,,,,"[dexa_legs_lean_grams] > 1",y,,,,,
dexa_legs_total_mass_kgs,dualenergy_xray_absorptiometry_dexa,,text,"7g. Legs Total Mass (kg)",,,,,,,"[dexa_legs_bmc_grams] > 1",y,,,,,
dexa_right_leg_tissue_fat,dualenergy_xray_absorptiometry_dexa,"RIGHT LEG",text,"8a. Right Leg Tissue (% Fat)",,,number,,,,"[dexa_legs_total_mass_kgs] > 1",y,,,,,
dexa_right_leg_region_fat,dualenergy_xray_absorptiometry_dexa,,text,"8b. Right Leg Region (% Fat)",,,number,,,,"[dexa_right_leg_tissue_fat] > 1",y,,,,,
dexa_right_leg_tissue_grams,dualenergy_xray_absorptiometry_dexa,,text,"8c. Right Leg Tissue (g)",,,number,,,,"[dexa_right_leg_region_fat] > 1",y,,,,,
dexa_right_leg_fat_grams,dualenergy_xray_absorptiometry_dexa,,text,"8d. Right Leg Fat (g)",,,number,,,,"[dexa_right_leg_tissue_grams] > 1",y,,,,,
dexa_right_leg_lean_grams,dualenergy_xray_absorptiometry_dexa,,text,"8e. Right Leg Lean (g)",,,number,,,,"[dexa_right_leg_fat_grams] > 1",y,,,,,
dexa_right_leg_bmc_grams,dualenergy_xray_absorptiometry_dexa,,text,"8f. Right Leg BMC (g)",,,number,,,,"[dexa_right_leg_lean_grams] > 1",y,,,,,
dexa_right_leg_total_mass_kg,dualenergy_xray_absorptiometry_dexa,,text,"8g. Right Leg Total Mass (kg)",,,,,,,"[dexa_right_leg_bmc_grams] > 1",y,,,,,
dexa_left_leg_tissue_fat,dualenergy_xray_absorptiometry_dexa,"LEFT LEG",text,"9a. Left Leg Tissue (% Fat)",,,number,,,,"[dexa_right_leg_total_mass_kg] > 1",y,,,,,
dexa_left_leg_region_fat,dualenergy_xray_absorptiometry_dexa,,text,"9b. Left Leg Region (% Fat)",,,number,,,,"[dexa_left_leg_tissue_fat] > 1",y,,,,,
dexa_left_leg_tissue_grams,dualenergy_xray_absorptiometry_dexa,,text,"9c. Left Leg Tissue (g)",,,number,,,,"[dexa_left_leg_region_fat] > 1",y,,,,,
dexa_left_leg_fat_grams,dualenergy_xray_absorptiometry_dexa,,text,"9d. Left Leg Fat (g)",,,number,,,,"[dexa_left_leg_tissue_grams] > 1",y,,,,,
dexa_left_leg_lean_grams,dualenergy_xray_absorptiometry_dexa,,text,"9e. Left Leg Lean (g)",,,number,,,,"[dexa_left_leg_fat_grams] > 1",y,,,,,
dexa_left_leg_bmc_grams,dualenergy_xray_absorptiometry_dexa,,text,"9f. Left Leg BMC (g)",,,number,,,,"[dexa_left_leg_lean_grams] > 1",y,,,,,
dexa_left_leg_total_mass_kg,dualenergy_xray_absorptiometry_dexa,,text,"9g. Left Leg Total Mass (kg)",,,,,,,"[dexa_left_leg_bmc_grams] > 1",y,,,,,
dexa_total_tissue_fat,dualenergy_xray_absorptiometry_dexa,TOTAL,text,"10a. Total Tissue (% Fat)",,,number,,,,"[dexa_left_leg_total_mass_kg] > 1",y,,,,,
dexa_total_region_fat,dualenergy_xray_absorptiometry_dexa,,text,"10b. Total Region (% Fat)",,,number,,,,"[dexa_total_tissue_fat] > 1",y,,,,,
dexa_total_tissue_grams,dualenergy_xray_absorptiometry_dexa,,text,"10c. Total Tissue (g)",,,number,,,,"[dexa_total_region_fat] > 1",y,,,,,
dexa_total_fat_grams,dualenergy_xray_absorptiometry_dexa,,text,"10d. Total Fat (g)",,,number,,,,"[dexa_total_tissue_grams] > 1",y,,,,,
dexa_total_lean_grams,dualenergy_xray_absorptiometry_dexa,,text,"10e. Total Lean (g)",,,number,,,,"[dexa_total_fat_grams] > 1",y,,,,,
dexa_total_bmc_grams,dualenergy_xray_absorptiometry_dexa,,text,"10f. Total BMC (g)",,,number,,,,"[dexa_total_lean_grams] > 1",y,,,,,
dexa_total_mass_kg,dualenergy_xray_absorptiometry_dexa,,text,"10g. Total Mass (kg)",,,,,,,"[dexa_total_bmc_grams] > 1",y,,,,,
dexa_evat_volume,dualenergy_xray_absorptiometry_dexa,"ESTIMATED VISCERAL ADIPOSE TISSUE",text,"11a. Volume (cm3)",,,number,,,,,y,,,,,
dexa_evat_mass,dualenergy_xray_absorptiometry_dexa,,text,"11b. Mass (g)",,,number,,,,"[dexa_evat_volume] > 1",y,,,,,
dexa_evat_area,dualenergy_xray_absorptiometry_dexa,,text,"11c. Area (cm2)",,,number,,,,"[dexa_evat_mass] > 1",y,,,,,
dexa_interpretation,dualenergy_xray_absorptiometry_dexa,,radio,"12. Participant DEXA Scan Interpretation ","1, Normal (-1.0 to 1.0) | 2, Osteopenia (-2.5 to -1.0) | 3, Osteoporosis ( < -2.5)",,,,,,,,,,,,
dexa_disinfected_after,dualenergy_xray_absorptiometry_dexa,,radio,"13. Was DEXA Scanner And Bed Sanitized and Disinfected After Use?","1, Yes | 2, No",,,,,,,y,,,,,
dexa_comments,dualenergy_xray_absorptiometry_dexa,,notes,Comments:,,,,,,,,,,,,,
bp_instructions,blood_pressure,,descriptive,"<div class=""rich-text-field-label""><h6><span style=""text-decoration: underline;"">Tell The Participant:</span><br />-Now we're going to check your blood pressure, we'll get your sytolic and diastolic measuremnts as well as your heart rate.</h6></div>",,,,,,,,,,,,,
bp_date,blood_pressure,,text,"Date Blood Pressure Measurment Performed",,,date_dmy,,,,,y,,,,,
bp_time,blood_pressure,,text,"Time Blood Pressure Measurment Performed",,,time,,,,,y,,,,,
bp_positioning,blood_pressure,,yesno,"1. Was Position Of Participant In An Upright Seated Position For Blood Pressure Reading?",,,,,,,,y,,,,,
bp_resting_time,blood_pressure,,yesno,"2. Was Participant At Rest For At Least 5 Minutes Before Blood Pressure Taken?",,,,,,,,y,,,,,
bp_taken,blood_pressure,,yesno,"3. Was Blood Pressure Measurment Taken?",,,,,,,,y,,,,,
bp_systolic,blood_pressure,,text,"4. Systolic Measurment  (mmHg)",,,,,,,,y,,,,,
bp_diastolic,blood_pressure,,text,"5. Diastolic Measurment (mmHg) ",,,,,,,,y,,,,,
bp_pulse,blood_pressure,,text,"6. Pulse (Heart Rate) Measurment",,,,,,,,y,,,,,
bp_comments,blood_pressure,,notes,Comments:,,,,,,,,,,,,,
biopsy_date,muscle_sampling_biopsy,"ALL Biopsies Done During T1, T2 & T3 Will Be Performed On The Same Leg.",text,"Date Muscle Biopsy Performed",,,date_dmy,,,,,y,,,,,
biopsy_time,muscle_sampling_biopsy,,text,"Time Muscle Biopsy Performed",,,time,,,,,y,,,,,
biopsy_leg,muscle_sampling_biopsy,,radio,"1. Which Leg Did Participant Have Muscle Biopsy Performed On?","1, Left | 2, Right","Note the leg biopsy perfomed on for future reference (ALL biopsies will be performed on the same leg).",,,,,,y,,,,,
biopsy_post_care,muscle_sampling_biopsy,,yesno,"2. Was Participant Given A Post Procedural Care Kit With Post Care Instructions Included?",,,,,,,,y,,,,,
biopsy_post_care_reason,muscle_sampling_biopsy,,yesno,"2a. If No To Question 2, Please Explain",,,,,,,"[biopsy_post_care] = '0'",y,,,,,
biopsy_comments,muscle_sampling_biopsy,,notes,,,,,,,,,,,,,,
ogtt_date,oral_glucose_tolerance_test_ogtt,,text,"Date Oral Glucose Tolerance Test Performed",,,date_dmy,,,,,y,,,,,
ogtt_time,oral_glucose_tolerance_test_ogtt,,text,"Time Oral Glucose Tolerance Test Performed",,,time,,,,,y,,,,,
ogtt_pre_draw,oral_glucose_tolerance_test_ogtt,,yesno,"1. Did Participant Have Blood Drawn Before Consuming Glucose Beverage?",,,,,,,,,,,,,
ogtt_q1_notes,oral_glucose_tolerance_test_ogtt,,notes,"1a. If No To Question 1, Please Explain",,,,,,,"[ogtt_pre_draw] = '0'",y,,,,,
ogtt_beverage_consumed,oral_glucose_tolerance_test_ogtt,,yesno,"2. Did Participant Consume The 75 g Glucose (TRUTOL, ThermoFisher Scientific) Beverage?",,,,,,,"[ogtt_pre_draw] = '1'",y,,,,,
ogtt_no_why,oral_glucose_tolerance_test_ogtt,,notes,"2a. If No To Question 2, Please Explain",,,,,,,"[ogtt_beverage_consumed] = '0'",y,,,,,
ogtt_thirty_min_draw,oral_glucose_tolerance_test_ogtt,,yesno,"3. Was Blood Drawn (30 Minutes) After Consumption?",,,,,,,"[ogtt_beverage_consumed] = '1'",y,,,,,
ogtt_q3_notes,oral_glucose_tolerance_test_ogtt,,notes,"3a. If No To Question 4, Please Explain",,,,,,,"[ogtt_thirty_min_draw] = '0'",y,,,,,
ogtt_sixty_min_draw,oral_glucose_tolerance_test_ogtt,,yesno,"4. Was Blood Drawn (60 Minutes) After Consumption?",,,,,,,"[ogtt_thirty_min_draw] = '1'",y,,,,,
ogtt_q4_notes,oral_glucose_tolerance_test_ogtt,,notes,"4a. If No To Question 5, Please Explain",,,,,,,"[ogtt_sixty_min_draw] = '0'",y,,,,,
ogtt_final_blood_draw,oral_glucose_tolerance_test_ogtt,,yesno,"5.  Was Blood Drawn (120 Minutes) After Consumption?",,,,,,,"[ogtt_sixty_min_draw] = '1'",y,,,,,
ogtt_q5_notes,oral_glucose_tolerance_test_ogtt,,notes,"5a. If No To Question 5, Please Explain",,,,,,,"[ogtt_final_blood_draw] = '0'",y,,,,,
ogtt_blood_spillage,oral_glucose_tolerance_test_ogtt,,yesno,"6. Were Surfaces Contaminated With Blood Spillage Cleaned And Disinfected?",,,,,,,,,,,,,
ogtt_q6_notes,oral_glucose_tolerance_test_ogtt,,yesno,"6a. If No To Question 6 Please Explain",,,,,,,"[ogtt_blood_spillage] = '0'",y,,,,,
ogtt_comments,oral_glucose_tolerance_test_ogtt,,notes,Comments:,,,,,,,,,,,,,
sf_instructions,fatigue_sf36_energyfatigue_subscale,,descriptive,"<div class=""rich-text-field-label""><h6><span style=""text-decoration: underline;"">Tell The Participant:</span></h6> <h6>-Here you will complete the energy and fatigue subscale questionnaire. This questionnaire asks 36 questions to assess your perceived energy levels and fatigue.</h6> <h6>-Carefully read and answer each question according to your own personal experiences and I want to assure you that their are no right or wrong answers.</h6> <p> </p></div>",,,,,,,,,,,,,
sf_date_completed,fatigue_sf36_energyfatigue_subscale,,text,"Date 36-Item Short Form Survey Completed",,,date_dmy,,,,,y,,,,,
sf_time_completed,fatigue_sf36_energyfatigue_subscale,,text,"Time 36-Item Short Form Survey Completed",,,time,,,,,y,,,,,
sf_individual_health,fatigue_sf36_energyfatigue_subscale,"36-Item Short Form Survey Questionnaire",radio,"1. In General, Would You Say Your Health Is:","100, Excellent | 75, Very Good | 50, Good | 25, Fair | 0, Poor",,,,,,,y,,,,,
sf_general_health,fatigue_sf36_energyfatigue_subscale,,radio,"2. Compared To One Year Ago, How Would You Rate Your Health In General Now?","100, Much Better Now Than One Year Ago | 75, Somewhat Better Now Than One Year Ago | 50, About The Same | 25, Somewhat Worse Now Than One Year Ago | 0, Much Worse Now Than One Year Ago",,,,,,,y,,,,,
sf_vigorous_activities,fatigue_sf36_energyfatigue_subscale,"The Following Items Are About Activities You Might Do During A Typical Day. Does Your Health Now Limit You In These Activities? If So, How Much?",radio,"3. Vigorous Activities, Such As Running, Lifting Heavy Objects, Participating In Strenuous Sports","0, Yes, Limited A Lot | 50, Yes, Limited A Little | 100, No, Not Limited At All",,,,,,,y,,,,,
sf_moderate_activities,fatigue_sf36_energyfatigue_subscale,,radio,"4. Moderate Activities, Such As Moving A Table, Pushing A Vacuum Cleaner, Bowling, Or Playing Golf","0, Yes, Limited A Lot | 50, Yes, Limited A Little | 100, No, Not Limited At All",,,,,,,y,,,,,
sf_groceries,fatigue_sf36_energyfatigue_subscale,,radio,"5. Lifting Or Carrying Groceries","0, Yes, Limited A Lot | 50, Yes, Limited A Little | 100, No, Not Limited At All",,,,,,,y,,,,,
sf_stairs,fatigue_sf36_energyfatigue_subscale,,radio,"6. Climbing Several Flights Or Stairs","0, Yes, Limited A Lot | 50, Yes, Limited A Little | 100, No, Not Limited At All",,,,,,,y,,,,,
sf_one_stairs,fatigue_sf36_energyfatigue_subscale,,radio,"7. Climbing One Flight Of Stairs","0, Yes, Limited A Lot | 50, Yes, Limited A Little | 100, No, Not Limited At All",,,,,,,y,,,,,
sf_bending,fatigue_sf36_energyfatigue_subscale,,radio,"8. Bending, Kneeling, Or Stooping","0, Yes, Limited A Lot | 50, Yes, Limited A Little | 100, No, Not Limited At All",,,,,,,y,,,,,
sf_mile,fatigue_sf36_energyfatigue_subscale,,radio,"9. Walking More Than A Mile","0, Yes, Limited A Lot | 50, Yes, Limited A Little | 100, No, Not Limited At All",,,,,,,y,,,,,
sf_blocks,fatigue_sf36_energyfatigue_subscale,,radio,"10. Walking Several Blocks","0, Yes, Limited A Lot | 50, Yes, Limited A Little | 100, No, Not Limited At All",,,,,,,y,,,,,
sf_one_block,fatigue_sf36_energyfatigue_subscale,,radio,"11. Walking One Block","0, Yes, Limited A Lot | 50, Yes, Limited A Little | 100, No, Not Limited At All",,,,,,,y,,,,,
sf_bathing,fatigue_sf36_energyfatigue_subscale,,radio,"12. Bathing Or Dressing Yourself","0, Yes, Limited A Lot | 50, Yes, Limited A Little | 100, No, Not Limited At All",,,,,,,y,,,,,
sf_physical_cut,fatigue_sf36_energyfatigue_subscale,"During The Past 4 Weeks, Have You Had Any Of The Following Problems With Your Work Or Other Regular Daily Activities As A Result Of Your Physical Health?",radio,"13. Cut Down The Amount Of Time You Spent On Work Or Other Activities","0, Yes | 100, No",,,,,,,y,,,,,
sf_less_accomplished,fatigue_sf36_energyfatigue_subscale,,radio,"14. Accomplished Less Than You Would Like","0, Yes | 100, No",,,,,,,y,,,,,
sf_limited_activities,fatigue_sf36_energyfatigue_subscale,,radio,"15. Were Limited In The Kind Of Work Or Other Activities","0, Yes | 100, No",,,,,,,y,,,,,
sf_performance_difficulty,fatigue_sf36_energyfatigue_subscale,,radio,"16. Had Difficulty Performing The Work Or Other Activities (For Example, It Took Extra Effort)","0, Yes | 100, No",,,,,,,y,,,,,
sf_activity_cut_time,fatigue_sf36_energyfatigue_subscale,"During The Past 4 Weeks, Have You Had Any Of The Following Problems With Your Work Or Other Regular Daily Activities As A Result Of Any Emotional Problems (Such As Feeling Depressed Or Anxious)?",radio,"17. Cut Down The Amount Of Time You Spent On Work Or Other Activities","0, Yes | 100, No",,,,,,,y,,,,,
sf_accomplish_less,fatigue_sf36_energyfatigue_subscale,,radio,"18. Accomplished Less Than You Would Like","0, Yes | 100, No",,,,,,,y,,,,,
sf_didnt_do_work,fatigue_sf36_energyfatigue_subscale,,radio,"19. Didn't Do Work Or Other Activities As Carefully As Usual","0, Yes | 100, No",,,,,,,y,,,,,
sf_social_activity,fatigue_sf36_energyfatigue_subscale,,radio,"20. During The Past 4 Weeks, To What Extent Has Your Physical Health Or Emotional Problems Interfered With Your Normal Social Activities With Family, Friends, Neighbors, Or Groups?","100, Not At All | 75, Slightly | 50, Moderately | 25, Quite A Bit | 0, Extremely",,,,,,,y,,,,,
sf_bodily_pain,fatigue_sf36_energyfatigue_subscale,,radio,"21. How Much Bodily Pain Have You Had During The Past 4 Weeks?","100, None | 80, Very Mild | 60, Mild | 40, Moderate | 20, Severe | 0, Very Severe",,,,,,,y,,,,,
sf_normal_work,fatigue_sf36_energyfatigue_subscale,,radio,"22. During The Past 4 Weeks, How Much Did Pain Interfere With Your Normal Work (Including Both Work Outside The Home And Housework)?","100, Not At All | 75, A Little Bit | 50, Moderately | 25, Quite A Bit | 0, Extremely",,,,,,,y,,,,,
sf_pep,fatigue_sf36_energyfatigue_subscale,"These Questions Are About How You Feel And How Things Have Been With You During The Past 4 Weeks. For Each Question, Please Give The One Answer That Comes Closest To The Way You Have Been Feeling.

How Much Of The Time During The Past 4 Weeks...",radio,"23. Did You Feel Full Of Pep?","100, All Of The Time | 80, Most Of The Time | 60, A Good Bit Of The Time | 40, Some Of The Time | 20, A Little Of The Time | 0, None Of The Time",,,,,,,y,,,,,
sf_nervousness,fatigue_sf36_energyfatigue_subscale,,radio,"24. Have You Been A Very Nervous Person?","0, All Of The Time | 20, Most Of The Time | 40, A Good Bit Of The Time | 60, Some Of The Time | 80, A Little Of The Time | 100, None Of The Time",,,,,,,y,,,,,
sf_feeling_down,fatigue_sf36_energyfatigue_subscale,,radio,"25. Have You Felt So Down In The Dumps That Nothing Could Cheer You Up?","0, All Of The Time | 20, Most Of The Time | 40, A Good Bit Of The Time | 60, Some Of The Time | 80, A Little Of The Time | 100, None Of The Time",,,,,,,y,,,,,
sf_calm_and_peace,fatigue_sf36_energyfatigue_subscale,,radio,"26. Have You Felt Calm And Peaceful?","100, All Of The Time | 80, Most Of The Time | 60, A Good Bit Of The Time | 40, Some Of The Time | 20, A Little Of The Time | 0, None Of The Time",,,,,,,y,,,,,
sf_energy_level,fatigue_sf36_energyfatigue_subscale,,radio,"27. Did You Have A Lot Of Energy?","100, All Of The Time | 80, Most Of The Time | 60, A Good Bit Of The Time | 40, Some Of The Time | 20, A Little Of The Time | 0, None Of The Time",,,,,,,y,,,,,
sf_feeling_blue,fatigue_sf36_energyfatigue_subscale,,radio,"28. Have You Felt So Downhearted And Blue?","0, All Of The Time | 20, Most Of The Time | 40, A Good Bit Of The Time | 60, Some Of The Time | 80, A Little Of The Time | 100, None Of The Time",,,,,,,y,,,,,
sf_worn_out,fatigue_sf36_energyfatigue_subscale,,radio,"29. Did You Feel Worn Out?","0, All Of The Time | 20, Most Of The Time | 40, A Good Bit Of The Time | 60, Some Of The Time | 80, A Little Of The Time | 100, None Of The Time",,,,,,,y,,,,,
sf_happy,fatigue_sf36_energyfatigue_subscale,,radio,"30. Have You Been A Happy Person?","100, All Of The Time | 80, Most Of The Time | 60, A Good Bit Of The Time | 40, Some Of The Time | 20, A Little Of The Time | 0, None Of The Time",,,,,,,y,,,,,
sf_tired,fatigue_sf36_energyfatigue_subscale,,radio,"31. Did You Feel Tired?","0, All Of The Time | 20, Most Of The Time | 40, A Good Bit Of The Time | 60, Some Of The Time | 80, A Little Of The Time | 100, None Of The Time",,,,,,,y,,,,,
sf_social_activities,fatigue_sf36_energyfatigue_subscale,,radio,"32. During The Past 4 Weeks, How Much Of The Time Has Your Physical Health Or Emotional Problems Interfered With Your Social Activities (Like Visiting With Friends, Relatives, etc.)","0, All Of The Time | 25, Most Of The Time | 50, Some Of The Time | 75, A Little Of The Time | 100, None Of The Time",,,,,,,y,,,,,
sf_easily_sick,fatigue_sf36_energyfatigue_subscale,"How TRUE or FALSE Is Each Of The Following Statements For You.",radio,"33. I Seem To Get Sick A Little Easier Than Other People","0, Definitely True | 25, Mostly True | 50, Don't Know | 75, Mostly False | 100, Definitely False",,,,,,,y,,,,,
sf_super_healthy,fatigue_sf36_energyfatigue_subscale,,radio,"34. I Am As Healthy As Anybody I Know","100, Definitely True | 75, Mostly True | 50, Don't Know | 25, Mostly False | 0, Definitely False",,,,,,,y,,,,,
sf_health_to_be_worse,fatigue_sf36_energyfatigue_subscale,,radio,"35. I Expect My Health To Get Worse","0, Definitely True | 25, Mostly True | 50, Don't Know | 75, Mostly False | 100, Definitely False",,,,,,,y,,,,,
sf_excellent_health,fatigue_sf36_energyfatigue_subscale,,radio,"36. My Health Is Excellent","100, Definitely True | 75, Mostly True | 50, Don't Know | 25, Mostly False | 0, Definitely False",,,,,,,y,,,,,
sf_physical_function_score,fatigue_sf36_energyfatigue_subscale,"SF-36 ENERGY/FATIGUE SUBSCALE HEALTH SURVEY SCORE",calc,"37. Physical Functioning Score","([sf_vigorous_activities] + [sf_moderate_activities] + [sf_groceries] + [sf_stairs] + [sf_one_stairs] + [sf_bending] + [sf_mile] + [sf_blocks] + [sf_one_block] + [sf_bathing])/10",,,,,,,y,,,,,
sf_phys_health_limit_score,fatigue_sf36_energyfatigue_subscale,,calc,"38. Role Limitations Due To Physical Health Score","([sf_physical_cut] + [sf_less_accomplished] + [sf_limited_activities] + [sf_performance_difficulty])/4",,,,,,,y,,,,,
sf_emotional_problem_score,fatigue_sf36_energyfatigue_subscale,,calc,"39. Role Limitations Due To Emotional Problems Score","([sf_activity_cut_time] + [sf_accomplish_less] + [sf_didnt_do_work])/3",,,,,,,y,,,,,
sf_energy_fatigue_score,fatigue_sf36_energyfatigue_subscale,,calc,"40. Energy/Fatigue Score","([sf_pep] + [sf_energy_level] + [sf_worn_out] + [sf_tired])/4",,,,,,,y,,,,,
sf_well_being_score,fatigue_sf36_energyfatigue_subscale,,calc,"41. Emotional Well-Being Score","([sf_nervousness] + [sf_feeling_down] + [sf_calm_and_peace] + [sf_feeling_blue] + [sf_happy])/5",,,,,,,y,,,,,
sf_social_function_score,fatigue_sf36_energyfatigue_subscale,,calc,"42. Social Functioning Score","([sf_social_activity] + [sf_social_activities])/2",,,,,,,y,,,,,
